Código;Descrição;Descrição complementar;Grupo;Procedência;Unid;Preço min vnd (R$);Preço vnd (R$);Custo orç;% markup;Conv vnd;Conv cpr;Peso líq unitário (kg);Peso bruto unitário (kg);Descrição do grupo;Dentro do grupo (código);Dentro do grupo (descrição);Desenho;Revisão desenho;Moeda custo;Qt/vol;Preço cmp (R$);Estocagem;IPI (%);Tipo custo;Estoque mínimo;Ponto de ressuprimento;Lote mínimo;Lote múltiplo;Origem da mercadoria;Prazo de aquisição(dias);Número da FCI;GTIN;Criado em;GTIN unid tributável;Criado por;Alterado por;CEST;Alterado em;Origem da mercadoria;Tipo contábil;NCM;Estado;Observações;Observações técnicas;Endereço de estoque padrão
T00159;BATENTE PADRÃO - SUPERIOR BRUTO 2200X125X28MM CANAL 3MM C/B;BATENTE HDF PADRÃO - BRUTO BRUTO COM BORRACHA AMORTECEDORA;BT0201B001;Fabricado;un;;;;;;;;;BATENTE HDF PADRÃO - SUPERIOR BRUTO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:23;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00158;BATENTE PADRÃO - SUPERIOR RECOBERTO PET BCO MAX|2200X125X28MM CANAL 3MM C/B;BATENTE HDF PADRÃO - DIREITO RECOBERTO COM BORRACHA AMORTECEDORA;BT0201R001;Fabricado;un;;;;;;;;;BATENTE HDF PADRÃO - SUPERIOR C/B RECOBERTO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:23;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00157;BATENTE PADRÃO - SUPERIOR ACABADO PET BCO MAX|1100X125X28MM CANAL 3MM C/B-TR;BATENTE HDF PADRÃO - SUPERIOR ACABADO COM BORRACHA AMORTECEDORA E TOPO RETO;BT0201A001;Fabricado;un;;;;;;;;;BATENTE HDF PADRÃO - SUPERIOR C/B TR ACABADO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:23;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00156;CONJUNTO BATENTE SI PADRÃO PET BCO MAX|2300X125X28MM CANAL 3MM C/B-TR;CONJUNTO BATENTE COM SOLEIRA IMPERMEAVEL PADRÃO ACABADO COM BORRACHA AMORTECEDORA E TOPO RETO;CB0101-001;Fabricado;un;;;;;;;;;CONJUNTO BATENTE SOLEIRA IMPERMEAVEL PADRÃO COM BORRACHA TOPO RETO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:22;;Everaldo;Everaldo;;17/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00155;PEITO BATENTE PADRÃO SI 2200X126X9MM;;015CBT;Fabricado;PC;;;;;;;;;PEITO PARA BATENTE SOLEIRA IMPERMEAVEL;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:18;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00154;BASE BATENTE PADRÃO SI 2200X166X18MM;;014CBT;Fabricado;PC;;;;;;;;;BASE PARA BATENTE SOLEIRA IMPERMEAVEL;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:18;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00153;BATENTE SI PADRÃO ESQUERDO BRUTO 2200X165X28MM CANAL 3MM C/B;BATENTE COM SOLEIRA IMPERMEAVEL PADRÃO ESQUERDO BRUTO COM BORRACHA AMORTECEDORA;BT0101B002;Fabricado;un;;;;;;;;;BATENTE PADRÃO ESQUERDO SOLEIRA IMPERMEAVEL BRUTO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:18;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00152;BATENTE SI PADRÃO ESQERDO RECOBERTO FLM IMP FREIJO|2200X165X28MM CANAL 3MM C/B;BATENTE COM SOLEIRA IMPERMEAVEL PADRÃO ESQUERDO RECOBERTO COM BORRACHA AMORTECEDORA;BT0101R002;Fabricado;un;;;;;;;;;BATENTE SOLEIRA IMPERMEAVEL PADRÃO ESQUERDO C/B RECOBERTO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:18;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00151;BATENTE SI PADRÃO ESQUERDO ACABADO FLM IMP FREIJO|2150X165X28MM CANAL 3MM C/B-TR;BATENTE COM SOLEIRA IMPERMEAVEL PADRÃO ESQUERDO ACABADO COM BORRACHA AMORTECEDORA E TOPO RETO;BT0101A002;Fabricado;un;;;;;;;;;BATENTE SOLEIRA IMPERMEAVEL PADRÃO ESQUERDO C/B TR ACABADO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 14:17;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00150;BATENTE PADRÃO - SUPERIOR BRUTO 2200X155X28MM CANAL 3MM C/B;BATENTE HDF PADRÃO - BRUTO BRUTO COM BORRACHA AMORTECEDORA;BT0201B001;Fabricado;un;;;;;;;;;BATENTE HDF PADRÃO - SUPERIOR BRUTO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;07/11/2025 13:17;;Everaldo;Everaldo;;07/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
